area,disruption,greatest_sector,totaldisrupt,dis,totalEmployed
16620,0.7794621671500132,Management occupations,,88695.0,113790.0
17820,0.6361565333729746,Management occupations,,171177.0,269080.0
29404,0.9823187320604019,Management occupations,,393566.0,400650.0
45940,0.7789643726488161,Management occupations,,176007.0,225950.0
21340,0.856734776179594,Management occupations,,254930.0,297560.0
42540,1.16710177680798,Management occupations,,299525.0,256640.0
43780,1.2698123162734605,Management occupations,,168466.0,132670.0
27340,0.44183628318584073,Management occupations,,19971.0,45200.0
46340,0.7493595562279375,Management occupations,,74299.0,99150.0
43420,0.4356770033773411,Management occupations,,14190.0,32570.0
20700,0.5432556432372913,Management occupations,,29602.0,54490.0
30020,0.8048886848749139,Management occupations,,35069.0,43570.0
17460,1.280033287587234,Management occupations,,1315119.0,1027410.0
44940,0.9578565447948646,Management occupations,,34320.0,35830.0
45500,0.7251923421005546,Management occupations,,40531.0,55890.0
18020,1.9014041514041513,Management occupations,,93435.0,49140.0
19804,1.1908750643531982,Management occupations,,855870.0,718690.0
4800003,0.9751693217590385,"Switchboard operators, including answering service",,102227.0,104830.0
18140,0.9322751788017353,Management occupations,,954165.0,1023480.0
4800001,0.9618256621239393,"Switchboard operators, including answering service",,187027.0,194450.0
17660,0.8196582671729375,Management occupations,,47491.0,57940.0
4800005,0.6286383347788378,Postal service clerks,,36241.0,57650.0
41940,0.9115923591249534,Management occupations,,953006.0,1045430.0
0600005,0.952325213540019,"Switchboard operators, including answering service",,60206.0,63220.0
0600004,1.5994554118447923,Postal service clerks,,46992.0,29380.0
0600001,0.763452410691981,Postal service clerks,,30561.0,40030.0
0600003,0.9841406973156434,"Postal service mail sorters, processors, and processing machine operators",,95688.0,97230.0
0600002,0.5637891520244461,"Cooks, fast food",,7380.0,13090.0
2900002,1.1571545231830143,"Switchboard operators, including answering service",,127530.0,110210.0
2900003,1.2200457694210787,"Switchboard operators, including answering service",,197257.0,161680.0
2900001,1.2698572521029825,"Switchboard operators, including answering service",,199266.0,156920.0
2900004,1.0385293307628753,"Switchboard operators, including answering service",,75418.0,72620.0
2100002,1.4511632058071042,"Postal service mail sorters, processors, and processing machine operators",,243897.0,168070.0
2100003,1.2950974991737358,"Switchboard operators, including answering service",,235112.0,181540.0
3500001,0.5677439598368371,"Switchboard operators, including answering service",,36188.0,63740.0
2100001,1.076395607268924,"Postal service mail sorters, processors, and processing machine operators",,164667.0,152980.0
2100004,0.7170283479960899,"Switchboard operators, including answering service",,73352.0,102300.0
3500004,0.4808074123097287,"Bookkeeping, accounting, and auditing clerks",,7265.0,15110.0
47260,0.7669917377759718,Management occupations,,566270.0,738300.0
29100,0.8019310344827586,Management occupations,,58140.0,72500.0
31460,2.75,Management occupations,,115940.0,42160.0
31340,1.0762387273279967,Management occupations,,106214.0,98690.0
12060,1.021708957182077,Management occupations,,2608801.0,2553370.0
49180,1.3502974580854517,Management occupations,,349538.0,258860.0
38540,0.5231804281345566,Management occupations,,17108.0,32700.0
1800002,1.9807196326350884,"Switchboard operators, including answering service",,314875.0,158970.0
35380,0.8090145135280415,Management occupations,,451511.0,558100.0
1500001,0.5917819533347098,"Switchboard operators, including answering service",,57320.0,96860.0
26620,0.9589480436177037,Management occupations,,209300.0,218260.0
3600002,0.6997668997668998,Sewing machine operators,,24016.0,34320.0
3600003,1.0335994889811562,"Switchboard operators, including answering service",,129448.0,125240.0
1800001,2.481648948516782,"Switchboard operators, including answering service",,534572.0,215410.0
48300,0.7902781023603646,Management occupations,,33816.0,42790.0
3600004,1.1814174259370396,"Switchboard operators, including answering service",,216542.0,183290.0
4000003,0.9187144662034112,Postmasters and mail superintendents,,58173.0,63320.0
4000002,0.9516028531606132,"Switchboard operators, including answering service",,116067.0,121970.0
4000001,1.1058494141971054,"Switchboard operators, including answering service",,128367.0,116080.0
3000002,0.6950570342205323,Postmasters and mail superintendents,,23764.0,34190.0
46220,1.135484517486722,Management occupations,,113310.0,99790.0
25940,0.3893872481369031,Management occupations,,28215.0,72460.0
28740,0.6979557069846678,Management occupations,,40970.0,58700.0
10740,0.6713211206331735,Management occupations,,256156.0,381570.0
14100,0.8843838862559241,Management occupations,,37321.0,42200.0
3100004,1.2139412538360368,Postal service clerks,,55380.0,45620.0
1600004,0.8901200171453064,Postal service clerks,,41533.0,46660.0
44420,1.018339970656047,Management occupations,,48585.0,47710.0
19460,1.3198303487276155,Management occupations,,70017.0,53050.0
29200,1.0715892798058895,Management occupations,,97161.0,90670.0
36980,0.9547835051546392,Management occupations,,46307.0,48500.0
74650,0.7965607401448109,Management occupations,,39605.0,49720.0
43340,0.8390112359550562,Management occupations,,149344.0,178000.0
19060,0.544269538801436,Management occupations,,19708.0,36210.0
2000001,1.1361547449045826,Postmasters and mail superintendents,,87518.0,77030.0
2000003,1.1322869955156951,"Switchboard operators, including answering service",,159075.0,140490.0
24660,1.6311244361007593,Management occupations,,582132.0,356890.0
19380,1.1187142703052528,Management occupations,,414864.0,370840.0
5300003,0.8687691365584813,Postal service clerks,,28374.0,32660.0
5300002,0.98538257752844,Sewing machine operators,,63232.0,64170.0
70750,0.620706834812393,Management occupations,,39868.0,64230.0
74950,0.8939489869753979,Management occupations,,98835.0,110560.0
35840,0.8193336162988115,Management occupations,,231642.0,282720.0
5300004,1.1343569731930776,Postal service clerks,,66859.0,58940.0
20994,1.0777345491388044,Management occupations,,265931.0,246750.0
36500,0.5038133952768099,Management occupations,,52054.0,103320.0
19140,4.682140243009808,Management occupations,,319837.0,68310.0
33260,0.6284590467376214,Management occupations,,54324.0,86440.0
33540,0.7506209037599172,Management occupations,,43521.0,57980.0
37900,0.8139472174411934,Management occupations,,141871.0,174300.0
31860,0.7927575522850503,Management occupations,,40938.0,51640.0
17900,1.0572250468290072,Management occupations,,395085.0,373700.0
16540,0.9009937238493724,Management occupations,,51681.0,57360.0
