MSA,31-0000,25-0000,51-0000,11-0000,21-0000,19-0000,49-0000,29-0000,45-0000,53-0000,15-0000,41-0000,17-0000,33-0000,39-0000,23-0000,37-0000,27-0000,43-0000,47-0000,35-0000,13-0000
0500001,4310.0,8300.0,14460.0,5450.0,1430.0,370.0,5380.0,8700.0,450.0,10330.0,640.0,11760.0,640.0,1920.0,3120.0,380.0,3550.0,630.0,16660.0,4320.0,11150.0,2490.0
20740,2710.0,4360.0,7010.0,3530.0,1290.0,280.0,3320.0,5940.0,210.0,6090.0,1370.0,8160.0,1540.0,1570.0,3990.0,310.0,2460.0,820.0,13160.0,2940.0,7230.0,3410.0
46540,5020.0,10300.0,7740.0,4450.0,2560.0,480.0,4520.0,8760.0,80.0,6700.0,2250.0,10440.0,1380.0,3910.0,7120.0,620.0,4230.0,1160.0,18070.0,3560.0,10990.0,5300.0
27900,2120.0,4260.0,8480.0,2710.0,1110.0,200.0,3400.0,5350.0,240.0,8950.0,800.0,8760.0,710.0,1070.0,2270.0,180.0,1890.0,590.0,12080.0,2390.0,7200.0,2230.0
22900,3100.0,5560.0,14580.0,4470.0,1540.0,340.0,4690.0,6390.0,530.0,11030.0,1230.0,11320.0,870.0,2110.0,3540.0,410.0,2800.0,490.0,16900.0,5100.0,9960.0,2940.0
0400001,1980.0,7630.0,3200.0,4480.0,1670.0,1340.0,5800.0,4520.0,860.0,6090.0,980.0,8910.0,930.0,5440.0,2690.0,420.0,3080.0,510.0,13730.0,5150.0,8690.0,3050.0
23540,4500.0,16500.0,2980.0,3610.0,2070.0,1610.0,4170.0,13890.0,170.0,5540.0,3280.0,12670.0,1510.0,2750.0,3190.0,990.0,5470.0,1420.0,17830.0,3770.0,13010.0,6820.0
41900,270.0,1910.0,3400.0,410.0,240.0,110.0,590.0,1410.0,,840.0,80.0,2010.0,150.0,370.0,450.0,,600.0,,2900.0,580.0,1430.0,320.0
76524,5220.0,6190.0,4410.0,6960.0,3290.0,700.0,3010.0,7890.0,,3720.0,1430.0,11310.0,1450.0,1980.0,3860.0,540.0,2790.0,1200.0,13380.0,2690.0,9440.0,3380.0
47220,2490.0,5220.0,5330.0,1650.0,1600.0,240.0,2260.0,4080.0,**,5630.0,**,5150.0,270.0,3050.0,1350.0,260.0,1670.0,220.0,8100.0,2200.0,3920.0,1470.0
42220,4600.0,12450.0,12370.0,11410.0,3230.0,1860.0,7250.0,10920.0,2490.0,11650.0,3020.0,22030.0,2950.0,2830.0,7790.0,750.0,7210.0,2140.0,27650.0,8940.0,21530.0,8570.0
29620,5400.0,18820.0,15040.0,10330.0,3200.0,2790.0,6950.0,11050.0,290.0,13920.0,6800.0,18480.0,3210.0,2830.0,5870.0,1500.0,5420.0,2960.0,34250.0,5720.0,17930.0,13000.0
47380,2810.0,8220.0,10570.0,3490.0,1620.0,660.0,5230.0,5870.0,260.0,6650.0,1830.0,11560.0,1690.0,2700.0,3860.0,560.0,3750.0,1110.0,20420.0,5380.0,10580.0,4200.0
71654,50110.0,114680.0,54350.0,161850.0,34040.0,33690.0,45660.0,124290.0,650.0,82420.0,98150.0,158450.0,44700.0,43780.0,58930.0,22170.0,55560.0,31900.0,258860.0,54370.0,143020.0,131390.0
20524,5070.0,14130.0,4460.0,5630.0,2780.0,580.0,5550.0,9800.0,140.0,6380.0,2550.0,12990.0,4160.0,4950.0,7350.0,730.0,5690.0,1610.0,21260.0,6960.0,12410.0,3880.0
22540,1070.0,2440.0,6470.0,2040.0,550.0,90.0,1900.0,2770.0,50.0,3670.0,620.0,4680.0,1410.0,780.0,1530.0,140.0,1060.0,590.0,6150.0,1990.0,3880.0,1630.0
19180,**,1670.0,2840.0,1410.0,260.0,150.0,1180.0,1390.0,,2340.0,280.0,2700.0,300.0,760.0,380.0,120.0,630.0,160.0,5210.0,590.0,2310.0,940.0
47300,3400.0,12270.0,9170.0,5140.0,3440.0,1120.0,5790.0,7450.0,24680.0,11590.0,1000.0,14250.0,690.0,2300.0,2880.0,410.0,3500.0,630.0,18200.0,3880.0,10940.0,3270.0
10380,490.0,4800.0,4190.0,1390.0,530.0,190.0,1190.0,1990.0,200.0,2010.0,590.0,6410.0,1830.0,770.0,600.0,**,2030.0,190.0,7100.0,1420.0,4180.0,1500.0
40980,3720.0,3790.0,9250.0,3450.0,1190.0,180.0,4000.0,7090.0,,4820.0,950.0,10640.0,1520.0,1330.0,2130.0,270.0,3500.0,510.0,13030.0,2710.0,8430.0,3190.0
1700002,6040.0,11600.0,15590.0,10740.0,2900.0,630.0,7490.0,11570.0,650.0,13080.0,1800.0,17750.0,1760.0,6670.0,3840.0,520.0,5160.0,1330.0,28200.0,5510.0,15700.0,5120.0
1700001,4130.0,9140.0,16020.0,7810.0,2120.0,720.0,6190.0,7780.0,530.0,13120.0,900.0,12140.0,1430.0,3720.0,2270.0,380.0,4390.0,810.0,20420.0,5280.0,11660.0,3740.0
22380,1030.0,4260.0,2620.0,4080.0,1250.0,1430.0,2660.0,3770.0,60.0,2530.0,950.0,5990.0,880.0,1460.0,2350.0,510.0,2400.0,630.0,8690.0,2070.0,9040.0,**
1700004,2550.0,6830.0,8610.0,4770.0,1820.0,470.0,4610.0,6720.0,220.0,7830.0,570.0,8290.0,940.0,3740.0,2190.0,180.0,2980.0,460.0,13390.0,3740.0,7090.0,2570.0
39140,1500.0,3360.0,2510.0,3140.0,1380.0,390.0,2740.0,3980.0,110.0,3650.0,440.0,7070.0,510.0,1910.0,2210.0,250.0,2460.0,730.0,9030.0,2800.0,7570.0,1530.0
42644,32310.0,76860.0,95860.0,92450.0,17430.0,17380.0,52210.0,73170.0,2430.0,103840.0,121370.0,149260.0,51860.0,28470.0,46350.0,12900.0,36780.0,30490.0,218740.0,66750.0,134890.0,126780.0
28660,5000.0,11580.0,5740.0,4360.0,2030.0,590.0,6450.0,12620.0,100.0,8390.0,2160.0,14920.0,1470.0,5020.0,4550.0,570.0,4260.0,1310.0,20900.0,4860.0,13950.0,6150.0
73604,2190.0,5470.0,5590.0,3690.0,1180.0,310.0,2540.0,3330.0,60.0,3080.0,780.0,7270.0,1010.0,1270.0,2230.0,230.0,2060.0,620.0,9210.0,4080.0,6720.0,1970.0
39380,3160.0,3330.0,3070.0,1610.0,1180.0,330.0,2430.0,5210.0,130.0,2720.0,660.0,7270.0,660.0,1930.0,2010.0,230.0,1630.0,360.0,9030.0,2390.0,6000.0,2080.0
28140,25160.0,55110.0,62670.0,55310.0,13030.0,7450.0,40760.0,66300.0,1020.0,68520.0,44310.0,106520.0,18420.0,22630.0,32390.0,8780.0,27520.0,14350.0,178710.0,38580.0,91050.0,64700.0
24260,1370.0,2150.0,5960.0,1320.0,540.0,130.0,2260.0,2270.0,310.0,3790.0,300.0,4820.0,340.0,510.0,690.0,130.0,1430.0,300.0,5940.0,1680.0,3590.0,1470.0
40060,14840.0,35910.0,28890.0,26830.0,11080.0,4800.0,25060.0,40420.0,880.0,42780.0,22770.0,69770.0,8840.0,18590.0,21430.0,6670.0,20280.0,7580.0,105390.0,27060.0,52500.0,46480.0
22180,6190.0,10630.0,6260.0,3980.0,1920.0,760.0,5670.0,9690.0,60.0,8590.0,2350.0,13890.0,1020.0,3580.0,2800.0,460.0,3740.0,980.0,19460.0,3460.0,14300.0,6120.0
20220,1670.0,3280.0,6500.0,3040.0,810.0,120.0,2430.0,3530.0,160.0,4510.0,1060.0,6280.0,740.0,820.0,2110.0,210.0,1510.0,810.0,7730.0,2090.0,5360.0,2820.0
