area,opportunity
3900003,13.767728613569322
5000001,13.58687761749651
22500,14.090214140447422
5400001,14.164771371769383
18880,13.187694630555818
2200003,13.896928690892505
11540,12.202410423452768
2200002,13.713963562237227
5400002,14.027102546455609
49420,12.197790834312574
22660,13.79023560034706
11260,14.113490351872871
10580,14.524171205170505
13020,13.501554851713216
28100,12.913103615627275
33740,14.42630893461839
36100,12.727731178396072
78254,12.496300757054371
11180,12.795628290226597
48060,13.031941747572816
24300,14.332759795570698
19780,14.023695449274543
23844,13.711169133668946
37620,13.882432432432433
19300,12.860652920962199
2600003,13.577787979966612
32780,13.84171331224142
37964,15.90993453336777
2600002,13.944991236348928
47894,14.932328390927815
21660,13.806292026897214
12980,12.548068432671082
16700,14.089972841841872
21060,11.887857142857143
17980,13.266737986984042
47940,12.41819724044334
17860,14.398854587105923
78100,14.761026896400214
0500001,13.122387290682697
13900,14.446036872560894
46540,14.792418923436978
33460,14.85936919251407
22900,12.512246383404603
0400001,13.173538123971475
23540,15.203569471624267
41900,10.571365395245993
76524,15.528568416613957
47220,12.179194518716578
42220,13.463563129357087
29620,13.149475116640746
47380,12.486310945933988
20524,14.656119660578169
22540,11.678417582417582
19180,9.131714836223507
2300002,14.066963537300921
10380,10.484558991981672
40980,13.611980867942137
1700002,12.98861699677568
1700001,12.28608656915881
10420,13.938070507728966
1700004,12.532674688155426
39140,13.790399865024463
42644,14.403328738063314
28660,14.690640286194057
73604,13.209832023424257
39380,15.023724089879812
28140,14.103346113294354
40060,14.37541481435101
22180,14.706417282185688
27500,12.546938145920098
2000002,13.485237780713343
32580,17.221444876056225
2200001,11.185714285714285
48140,12.234813856547362
2200004,12.55579243100314
39740,13.275543920884235
39660,13.870269442743417
43300,13.854495031199445
45060,13.990544213177781
41420,14.005515438247013
25620,13.50146835443038
32900,10.807032799389779
16740,13.809762505706926
18700,13.772001214697845
77200,14.742169228864082
12540,11.447619533428552
25060,12.970736434108527
47460,11.751103974307506
16580,12.873900173522507
12940,13.917723117329158
16620,14.200500922752438
17820,14.560762598483722
29404,12.980796206164982
45940,14.249727815888471
21340,13.830555182148139
42540,13.991427680798004
43780,13.448285218964347
27340,12.863053097345134
46340,14.899162884518406
43420,12.388762665029168
20700,12.56026793907139
30020,12.444526050034428
17460,14.415939109021714
44940,12.13190064192018
45500,12.783503310073359
18020,9.217032967032967
19804,13.73867731567157
4800003,13.28917294667557
18140,14.741417516707703
4800001,12.681954229879146
17660,13.583344839489127
4800005,13.07968777103209
41940,14.637795930860985
0600005,12.94247073710851
0600004,9.8928182437032
0600001,12.806819885086185
0600003,12.980499845726628
0600002,11.514973262032086
2900002,12.475437800562563
2900003,13.921443592281049
2900001,12.914128218200357
2900004,12.66054805838612
2100002,12.22797048848694
2100003,12.538129337886968
3500001,15.435691873235017
2100001,13.13827297685972
2100004,14.783597262952101
3500004,10.544341495698212
47260,14.348357036435054
29100,14.177503448275862
31460,9.841247628083492
31340,13.357939000911946
12060,13.619162126914626
49180,14.002453063431972
38540,12.71204892966361
1800002,12.195137447317103
35380,13.730938899838739
1500001,13.11772661573405
26620,13.04196371300284
3600002,13.122494172494173
3600003,14.109453848610668
1800001,10.529984680376955
48300,12.115564384201916
3600004,12.993163838725517
4000003,12.85961781427669
4000002,13.04761006804952
4000001,13.756038938662991
3000002,13.093068148581457
46220,12.499649263453252
25940,14.04964118134143
28740,13.84557069846678
10740,15.292064365647194
14100,14.161587677725118
3100004,12.17027619465147
1600004,11.73054007715388
44420,11.947600083839866
19460,11.359736098020734
29200,11.580456600860263
36980,12.048721649484536
74650,13.730510860820596
43340,14.214837078651685
19060,13.711847555923779
2000001,11.739750746462418
2000003,13.18952950387928
24660,13.005606769592871
19380,14.75012404271384
5300003,12.291273729332516
5300002,12.30113760324139
70750,14.817686439358555
74950,13.700497467438495
35840,14.484408602150538
5300004,11.651153715643026
20994,12.696607902735563
36500,14.033168795973674
19140,9.33090323525106
33260,12.140259139287368
33540,13.777561228009658
37900,13.67312679288583
31860,14.102769171185129
17900,13.475921862456516
16540,12.508089260808926
44180,14.328459283549462
22420,13.964162278424682
76900,12.806952047295818
76750,14.670503918262078
34900,12.852465734068108
31900,12.07094674556213
21500,13.910646236900604
27140,14.326046547061289
40140,13.105523912979654
27260,14.178603757207515
19660,14.203798735511064
0100004,10.992192691029901
4100001,12.533777267508611
30700,13.812680477087257
0500002,12.182680832484355
0500003,11.795197581999329
0500004,12.191929896066844
74500,13.566015157558835
33860,12.57664990000606
26140,14.71399499060739
42020,12.929291408325952
20220,12.84729072594651
42340,12.921405712215446
43900,12.07956943858168
17300,12.584533522525719
10900,14.3688046236256
26380,12.514894327030033
29020,10.09510965465087
4600002,12.59811392213301
1600001,12.71405979202773
1600002,11.271600418410042
1600003,12.407982261640798
31540,14.506543769148184
4800002,13.02664539140229
25220,13.440442414041836
28700,13.124149573731746
73450,14.677484322238302
4100002,12.929493945979509
4100003,12.553129849974134
4100004,12.074787701317716
0100001,10.828629220476117
0100002,10.4414987968374
0100003,11.192548787699586
25980,10.669308700834327
4800006,14.570204525378813
72850,13.539178495163924
25860,12.339073961908607
4800004,13.415094144423753
34580,12.805545617173523
7200002,8.556953055801594
14020,12.519510748702743
2300001,13.49293595070927
20940,10.941900167006866
45300,14.242486202697787
37460,13.198039699173961
21300,12.410704381586244
29540,13.534520150273224
49700,12.622495039682539
1300004,12.296974744760881
36540,14.097748903418026
41180,14.511570143483755
1200001,12.632681281618886
1200002,12.125382262996942
1200003,12.381283703801131
48864,14.845965974625145
12220,11.798720800889878
31420,13.653445103250869
24420,12.488548987184787
36420,14.162755236464234
27860,13.498715801228364
33340,14.335749539156806
4500004,11.63941343424787
2800004,12.289670512998748
23420,12.28686739087047
0900001,12.587222057515564
22520,12.034880661529787
34940,14.132129153695795
2700004,12.954003139717425
3500003,13.065757009345795
2700001,13.74924816039245
24140,12.848522167487685
27100,11.722145153104382
11244,13.499982726964488
4500001,12.48843465367507
4500002,11.636013547415956
19740,14.802444245074422
3200002,11.531380851564338
4500003,11.670999779298167
73104,14.897219514991686
75404,12.75020506074441
4900001,12.016671727907683
30620,13.27859072957805
4900003,11.74100129477773
4900004,12.991002331002331
29180,13.674762371386576
70900,14.56499852811304
1300003,12.463969010727055
1300002,11.857542074363993
1300001,11.268956390219309
20260,15.932634849812764
22744,13.712181150428057
3800004,11.944186975629245
23900,11.814113650401483
3500002,13.895672965676821
3800001,13.269430370029172
3800002,12.995528660279039
3800003,13.286790582403965
2500004,8.65064724919094
2500002,10.892666666666667
2500003,13.047809809060277
2500001,11.548043728423476
33220,12.723848396501458
24340,12.727237177978528
25260,10.82234386663349
40220,13.972729053745184
42680,13.361276948590382
39340,14.4236373571331
2600004,12.29961944424499
36260,13.063826637608454
41700,14.644197917306
2600001,13.842020563254358
25500,12.023158409387223
75700,14.589517961096124
39580,14.72065438298873
15680,12.745454545454546
39460,13.90938684503902
28420,12.712814538676607
2800001,11.840931287059645
34980,13.39054221423326
11460,12.859220816152424
11700,14.755276923906596
49740,10.746106895414055
13380,12.80722891566265
45780,13.846630557586229
46520,14.102259459459459
45220,14.378018764469356
40420,12.489844908968308
24780,15.677457741717376
3900002,12.758307599152285
3900001,11.614367043567645
13220,14.180483833449639
3000004,13.391324137931035
39820,13.885285384361596
31180,14.250292355961209
3000001,13.287619904076738
49620,12.834700702262847
3000003,14.004905231235785
14500,14.257583839300914
33124,13.495713854244395
16974,14.058853954817787
0200001,12.28695281409892
0200002,12.664599728629579
12260,13.69113095516387
36740,13.620409785619039
